cell_type,gene_symbol
Ependymal,Il17rc
Ependymal,Intu
Ependymal,Iqca
Ependymal,Iqcd
Ependymal,Iqcg
Ependymal,Iqck
Ependymal,Iqub
Ependymal,Irak3
Ependymal,Jund
Ependymal,Katnal2
Ependymal,Kif26b
Ependymal,Kif27
Ependymal,Kif6
Ependymal,Kif9
Ependymal,Kl
Ependymal,Klhdc9
Ependymal,Klkb1
Ependymal,Kremen1
Ependymal,Krt15
Ependymal,Lama3
Ependymal,Laptm4a
Ependymal,Lbp
Ependymal,Lca5
Ependymal,Lect1
Ependymal,Lgals3
Ependymal,Lrguk
Ependymal,Lrrc23
Ependymal,Lrrc43
Ependymal,Lrrc46
Ependymal,Lrrc48
Ependymal,Lrrc51
Ependymal,Lrrc6
Ependymal,Lrrc71
Ependymal,Lrrc9
Ependymal,Lrriq1
Ependymal,Lypla2
Ependymal,Maats1
Ependymal,Mageh1
Ependymal,Mak
Ependymal,Map10
Ependymal,Mdh1b
Ependymal,Mdm1
Ependymal,Meig1
Ependymal,Mettl7a2
Ependymal,Mfsd7b
Ependymal,Mia
Ependymal,Mks1
Ependymal,Mlf1
Ependymal,Mns1
Ependymal,Morn1
Ependymal,Morn5
Ependymal,Mro
Ependymal,Msx1
Ependymal,Myb
Ependymal,Mybl2
Ependymal,Mycbp
Ependymal,Myo5c
Ependymal,Myo7a
Ependymal,N4bp2
Ependymal,Nek11
Ependymal,Nek5
Ependymal,Nin
Ependymal,Nipal2
Ependymal,Nmb
Ependymal,Nme5
Ependymal,Nphp1
Ependymal,Nppc
Ependymal,Nr1d1
Ependymal,Nrp
Ependymal,Nthl1
Ependymal,Nudc
Ependymal,Odf3b
Ependymal,Ogn
Ependymal,Oscp1
Ependymal,Otud1
Ependymal,Otx1
Ependymal,P2rx6
Ependymal,Pard6g
Ependymal,Parp16
Ependymal,Pawr
Ependymal,Pcolce2
Ependymal,Pde1c
Ependymal,Per2
Ependymal,Phykpl
Ependymal,Pifo
Ependymal,Pih1d2
Ependymal,Pla2g5
Ependymal,Plagl1
Ependymal,Plin5
Ependymal,Plscr2
Ependymal,Postn
Ependymal,Ppap2a
Ependymal,Ppil6
Ependymal,Ppp1r32
Ependymal,Ppp1r42
Ependymal,Prdx4
Ependymal,Prlr
Ependymal,Pstpip1
Ependymal,Ptpn21
Ependymal,Pus7
Ependymal,Pygl
Ependymal,Rab11fip4
Ependymal,Rab42
Ependymal,Rarb
Ependymal,Rdh10
Ependymal,Rest
Ependymal,Rfx2
Ependymal,Rfx3
Ependymal,Rgag4
Ependymal,Rhbdd1
Ependymal,Ribc2
Ependymal,Riiad1
Ependymal,Rln1
Ependymal,Rn4.5s_loc1
Ependymal,Rn4.5s_loc2
Ependymal,Rnf138rt1
Ependymal,Ropn1l
Ependymal,Rpgr
Ependymal,Rsph1
Ependymal,Rsph3b
Ependymal,Rsph4a
Ependymal,Rsph9
Ependymal,Ruvbl2
Ependymal,S100a6
Ependymal,Scn7a
Ependymal,Sctr
Ependymal,Sec24d
Ependymal,Sema3b
Ependymal,Serinc2
Ependymal,Serpinb1b
Ependymal,Sfrp1
Ependymal,Ski
Ependymal,Slc16a12
Ependymal,Slc22a4
Ependymal,Slc26a2
Ependymal,Slc26a3
Ependymal,Slc29a4
Ependymal,Slc2a12
Ependymal,Slc39a13
Ependymal,Slc43a3
Ependymal,Smad5
Ependymal,Smim5
Ependymal,Smoc1
Ependymal,Snrpa
Ependymal,Socs1
Ependymal,Sord
Ependymal,Sostdc1
Ependymal,Sp7
Ependymal,Spa17
Ependymal,Spag17
Ependymal,Spag6
Ependymal,Spag8
Ependymal,Spata17
Ependymal,Spata24
Ependymal,Spata33
Ependymal,Spata6
Ependymal,Spef1
Ependymal,Spef2
Ependymal,Spint2
Ependymal,Ssh1
Ependymal,St8sia2
Ependymal,Stk30
Ependymal,Stk33
Ependymal,Stk36
Ependymal,Stpg1
Ependymal,Stxbp4
Ependymal,Styxl1
Ependymal,Sulf1
Ependymal,Syne1_loc2
Ependymal,Syt10
Ependymal,Tango6
Ependymal,Tbcel
Ependymal,Tchh
Ependymal,Tcp11l2
Ependymal,Tctex1d1
Ependymal,Tctex1d4
Ependymal,Tctn2
Ependymal,Tekt1
Ependymal,Tekt4
Ependymal,Tex9
Ependymal,Tgif2
Ependymal,Tmem107
Ependymal,Tmem108
Ependymal,Tmem216
Ependymal,Tmem220
Ependymal,Tmprss7
Ependymal,Tob1
Ependymal,Trim68
Ependymal,Trp53i13
Ependymal,Trp63
Ependymal,Trpm3
Ependymal,Tsga10
Ependymal,Tspan6
Ependymal,Ttc12
Ependymal,Ttc18
Ependymal,Ttc25
Ependymal,Ttc30a2
Ependymal,Ttc30b
Ependymal,Ttc34
Ependymal,Ttc8
Ependymal,Ttll13
Ependymal,Ttll9
Ependymal,Ttr
Ependymal,Tubb4b
Ependymal,Twist2
Ependymal,Uba6
Ependymal,Ubxn10
Ependymal,Ubxn11
Ependymal,Ucma
Ependymal,Ung
Ependymal,Upp1
Ependymal,Urah
Ependymal,Vit
Ependymal,Vwa3a
Ependymal,Wdr16
Ependymal,Wdr31
Ependymal,Wdr35
Ependymal,Wdr52
Ependymal,Wdr65
Ependymal,Wdr78
Ependymal,Wdr96
Ependymal,Wdyhv1
Ependymal,Wnt11
Ependymal,Xpc
Ependymal,Xylb
Ependymal,Zc2hc1c
Ependymal,Zcchc4
Ependymal,Zfp185
Ependymal,Zfp229
Ependymal,Zfp395
Ependymal,Zfp786
Ependymal,Zmynd10
Oligodendrocyte,0610007P14Rik
Oligodendrocyte,1110020A21Rik
Oligodendrocyte,1110057K04Rik
Oligodendrocyte,1500004A13Rik
Oligodendrocyte,1500015L24Rik
Oligodendrocyte,1700001P01Rik
Oligodendrocyte,1700047M11Rik
Oligodendrocyte,1810037I17Rik
Oligodendrocyte,1810058I24Rik
Oligodendrocyte,2310069G16Rik
Oligodendrocyte,2610316D01Rik
Oligodendrocyte,2700046A07Rik
Oligodendrocyte,2700070H01Rik
Oligodendrocyte,2810410L24Rik
Oligodendrocyte,2810429I04Rik
Oligodendrocyte,2810468N07Rik
Oligodendrocyte,3110007F17Rik
Oligodendrocyte,3110045C21Rik
Oligodendrocyte,4930402H24Rik
Oligodendrocyte,4930452G13Rik
Oligodendrocyte,4930506C21Rik
Oligodendrocyte,5031410I06Rik
Oligodendrocyte,5031439G07Rik
Oligodendrocyte,5330426P16Rik
Oligodendrocyte,6330416G13Rik
Oligodendrocyte,9330117O12Rik
Oligodendrocyte,9330188P03Rik
Oligodendrocyte,9630013A20Rik
Oligodendrocyte,A230001M10Rik
Oligodendrocyte,A230009B12Rik
Oligodendrocyte,AA986860
Oligodendrocyte,Aamdc
Oligodendrocyte,Aatk
Oligodendrocyte,Abca2
Oligodendrocyte,Abl1
Oligodendrocyte,Abtb2
Oligodendrocyte,Acat2
Oligodendrocyte,Adh5
Oligodendrocyte,Adi1
Oligodendrocyte,Ado
Oligodendrocyte,Adssl1
Oligodendrocyte,Agpat4
Oligodendrocyte,Aldh9a1
Oligodendrocyte,Angpt4
Oligodendrocyte,Ankrd13a
Oligodendrocyte,Ankrd28
Oligodendrocyte,Anln
Oligodendrocyte,Ano10
Oligodendrocyte,Ano4
Oligodendrocyte,Ap3m1
Oligodendrocyte,Ap5z1
Oligodendrocyte,Aplp1
Oligodendrocyte,Apod
Oligodendrocyte,Arfgap3
Oligodendrocyte,Arhgap23
Oligodendrocyte,Arhgef10
Oligodendrocyte,Arl2
Oligodendrocyte,Arrdc3
Oligodendrocyte,Arsg
Oligodendrocyte,Asah2
Oligodendrocyte,Aspa
Oligodendrocyte,Atat1
Oligodendrocyte,Atp10b
Oligodendrocyte,Atp11a
Oligodendrocyte,Atp1b3
Oligodendrocyte,B230206H07Rik
Oligodendrocyte,B3galt5
Oligodendrocyte,B3gnt9
Oligodendrocyte,Bcap31
Oligodendrocyte,Bet1
Oligodendrocyte,Bfsp2
Oligodendrocyte,Bpgm
Oligodendrocyte,Btbd16
Oligodendrocyte,Btc
Oligodendrocyte,C030029H02Rik
Oligodendrocyte,Cacna2d4
Oligodendrocyte,Car2
Oligodendrocyte,Catsper2
Oligodendrocyte,Ccdc163
Oligodendrocyte,Ccdc28b
Oligodendrocyte,Ccnjl
Oligodendrocyte,Ccnyl1
Oligodendrocyte,Ccp110
Oligodendrocyte,Cdc37l1
Oligodendrocyte,Cdc42ep2
Oligodendrocyte,Cdk18
Oligodendrocyte,Cdr2l
Oligodendrocyte,Cenpq
Oligodendrocyte,Cep72
Oligodendrocyte,Cep97
Oligodendrocyte,Cercam
Oligodendrocyte,Cers2
Oligodendrocyte,Cfl2
Oligodendrocyte,Chadl
Oligodendrocyte,Chdh
Oligodendrocyte,Chmp1b
Oligodendrocyte,Chn2
Oligodendrocyte,Chst3
Oligodendrocyte,Clasrp
Oligodendrocyte,Cldn11
Oligodendrocyte,Cldn25
Oligodendrocyte,Clgn
Oligodendrocyte,Cnp
Oligodendrocyte,Cntn2
Oligodendrocyte,Commd6
Oligodendrocyte,Commd9
Oligodendrocyte,Cpd
Oligodendrocyte,Cpox
Oligodendrocyte,Creb3l2
Oligodendrocyte,Cryab
Oligodendrocyte,Ctps
Oligodendrocyte,Cyb5
Oligodendrocyte,Cyb5r2
Oligodendrocyte,Cyp2j12
Oligodendrocyte,Cyp3a13
Oligodendrocyte,D16Ertd472e
Oligodendrocyte,D7Ertd443e
Oligodendrocyte,Dbndd2
Oligodendrocyte,Dcps
Oligodendrocyte,Ddit4
Oligodendrocyte,Ddrgk1
Oligodendrocyte,Deb1
Oligodendrocyte,Degs1
Oligodendrocyte,Depdc1b
Oligodendrocyte,Desi1
Oligodendrocyte,Dhcr24
Oligodendrocyte,Diablo
Oligodendrocyte,Dip2a
Oligodendrocyte,Dixdc1
Oligodendrocyte,Dnajb2
Oligodendrocyte,Dnajc24
Oligodendrocyte,Dpy19l1
Oligodendrocyte,Dusp15
Oligodendrocyte,E130308A19Rik
Oligodendrocyte,Ebp
Oligodendrocyte,Eef1d
Oligodendrocyte,Efcab14
Oligodendrocyte,Efnb3
Oligodendrocyte,Elovl1
Oligodendrocyte,Elovl6
Oligodendrocyte,Eml1
Oligodendrocyte,En2
Oligodendrocyte,Endod1
Oligodendrocyte,Enoph1
Oligodendrocyte,Enpp4
Oligodendrocyte,Enpp6
Oligodendrocyte,Epb4.1l3
Oligodendrocyte,Epn2
Oligodendrocyte,Erbb3
Oligodendrocyte,Erf
Oligodendrocyte,Ermn
Oligodendrocyte,Ermp1
Oligodendrocyte,Fads6
Oligodendrocyte,Fah
Oligodendrocyte,Fam102a
Oligodendrocyte,Fam122b
Oligodendrocyte,Fam173b
Oligodendrocyte,Fam178b_loc2
Oligodendrocyte,Fam222a
Oligodendrocyte,Fam57a
Oligodendrocyte,Fam83d
Oligodendrocyte,Fbxo32
Oligodendrocyte,Fbxo7
Oligodendrocyte,Fdps
Oligodendrocyte,Fez1
Oligodendrocyte,Fgd3
Oligodendrocyte,Fhdc1
Oligodendrocyte,Fign
Oligodendrocyte,Fmnl2
Oligodendrocyte,Fnbp1
Oligodendrocyte,Fnta
Oligodendrocyte,Foxn2
Oligodendrocyte,Frmd8
Oligodendrocyte,Fth1
Oligodendrocyte,Gal3st1
Oligodendrocyte,Galnt6
Oligodendrocyte,Gamt
Oligodendrocyte,Ghdc
Oligodendrocyte,Gjb1
Oligodendrocyte,Gjc2
Oligodendrocyte,Gjc3
Oligodendrocyte,Glod4
Oligodendrocyte,Gm10373
Oligodendrocyte,Gm10863
Oligodendrocyte,Gm12530
Oligodendrocyte,Gm13363
Oligodendrocyte,Gm16515
Oligodendrocyte,Gm9895
Oligodendrocyte,Gna12
Oligodendrocyte,Gng7
Oligodendrocyte,Gng8
Oligodendrocyte,Golga7
Oligodendrocyte,Gpd1
Oligodendrocyte,Gpr155
Oligodendrocyte,Gpr37
Oligodendrocyte,Gpr62
Oligodendrocyte,Grb14
Oligodendrocyte,Grhpr
Oligodendrocyte,Gsn
Oligodendrocyte,Gss
Oligodendrocyte,Gstp1
Oligodendrocyte,Gyg
Oligodendrocyte,Haus3
Oligodendrocyte,Haus5
Oligodendrocyte,Hcn2
Oligodendrocyte,Hint3
Oligodendrocyte,Hip1r
Oligodendrocyte,Hipk2
Oligodendrocyte,Hist1h2be
Oligodendrocyte,Hist1h2bh
Oligodendrocyte,Hist1h2bn
Oligodendrocyte,Hmgcs1
Oligodendrocyte,Hn1l
Oligodendrocyte,Hs3st1
Oligodendrocyte,Hsd17b10
Oligodendrocyte,Hsd17b12
Oligodendrocyte,Hsd17b7
Oligodendrocyte,Ick
Oligodendrocyte,Il12rb1
Oligodendrocyte,Il1rap
Oligodendrocyte,Il23a
Oligodendrocyte,Ilvbl
Oligodendrocyte,Itgad
Oligodendrocyte,Josd2
Oligodendrocyte,Kat2b
Oligodendrocyte,Kcna1
Oligodendrocyte,Kctd13
Oligodendrocyte,Kif13a
Oligodendrocyte,Kif13b
Oligodendrocyte,Kif19a
Oligodendrocyte,Klhl2
Oligodendrocyte,Klk6
Oligodendrocyte,Kndc1
Oligodendrocyte,Krcc1
Oligodendrocyte,Lcorl
Oligodendrocyte,Lgi3
Oligodendrocyte,Limch1
Oligodendrocyte,Lmf1
Oligodendrocyte,Lsm5
Oligodendrocyte,Lss
Oligodendrocyte,Ly6g6f
Oligodendrocyte,Lzts2
Oligodendrocyte,Mag
Oligodendrocyte,Malat1
Oligodendrocyte,Mal
Oligodendrocyte,Map6d1
Oligodendrocyte,Map7
Oligodendrocyte,Mapk3
Oligodendrocyte,March8
Oligodendrocyte,Masp1
Oligodendrocyte,Mbp
Oligodendrocyte,Micall1
Oligodendrocyte,Mir1897
Oligodendrocyte,Mobp
Oligodendrocyte,Mog
Oligodendrocyte,Mon2
Oligodendrocyte,Mpc1
Oligodendrocyte,Mpp5
Oligodendrocyte,Mpst
Oligodendrocyte,Mtm1
Oligodendrocyte,Mtmr10
Oligodendrocyte,Mvk
Oligodendrocyte,Myrf
Oligodendrocyte,Nacad
Oligodendrocyte,Nek3
Oligodendrocyte,Nfasc
Oligodendrocyte,Nfe2l3
Oligodendrocyte,Ninj2
Oligodendrocyte,Nipa1
Oligodendrocyte,Nipal4
Oligodendrocyte,Nipsnap3b
Oligodendrocyte,Nkain1
Oligodendrocyte,Nkain2
Oligodendrocyte,Nkx2-2os
Oligodendrocyte,Nkx6-2
Oligodendrocyte,Nmral1
Oligodendrocyte,Npsr1
Oligodendrocyte,Nrbp2
Oligodendrocyte,Nt5e
Oligodendrocyte,Nudt1
Oligodendrocyte,Olig1
Oligodendrocyte,Omg
Oligodendrocyte,Opalin
Oligodendrocyte,Otud7b
Oligodendrocyte,P4hb
Oligodendrocyte,Pacs2
Oligodendrocyte,Papss1
Oligodendrocyte,Pard3
Oligodendrocyte,Pcbp4
Oligodendrocyte,Pcdh9
Oligodendrocyte,Pcyt2
Oligodendrocyte,Pde4b
Oligodendrocyte,Pdlim2
Oligodendrocyte,Peg12
Oligodendrocyte,Pex2
Oligodendrocyte,Pfkfb3
Oligodendrocyte,Phc1
Oligodendrocyte,Phlda3
Oligodendrocyte,Phlpp1
Oligodendrocyte,Piga
Oligodendrocyte,Pigz
Oligodendrocyte,Pik3c2b
Oligodendrocyte,Pkd2l1
Oligodendrocyte,Plcl1
Oligodendrocyte,Plekha1
Oligodendrocyte,Plekhf1
Oligodendrocyte,Plekhh1
Oligodendrocyte,Pllp
Oligodendrocyte,Plp1
Oligodendrocyte,Pmvk
Oligodendrocyte,Polr3e
Oligodendrocyte,Pop4
Oligodendrocyte,Ppap2c
Oligodendrocyte,Ppp1r16b
Oligodendrocyte,Prim2
Oligodendrocyte,Prima1
Oligodendrocyte,Prob1
Oligodendrocyte,Ptch1
Oligodendrocyte,Ptgds
Oligodendrocyte,Ptpdc1
Oligodendrocyte,Ptpla
Oligodendrocyte,Ptprd
Oligodendrocyte,Pxmp4
Oligodendrocyte,Qdpr
Oligodendrocyte,Rab33a
Oligodendrocyte,Rab33b
Oligodendrocyte,Rab37
Oligodendrocyte,Ralgds
Oligodendrocyte,Rap1a
Oligodendrocyte,Rbpjl
Oligodendrocyte,Rcbtb1
Oligodendrocyte,Rdh11
Oligodendrocyte,Rdx
Oligodendrocyte,Rftn1
Oligodendrocyte,Rfxank
Oligodendrocyte,Rhou
Oligodendrocyte,Rhpn2
Oligodendrocyte,Rnf122
Oligodendrocyte,Rnf135
Oligodendrocyte,Rnf13
Oligodendrocyte,Rnf141
Oligodendrocyte,Rnf43
Oligodendrocyte,Rnf7
Oligodendrocyte,Rnls
Oligodendrocyte,Rtkn2
Oligodendrocyte,Rtkn
Oligodendrocyte,S1pr5
Oligodendrocyte,Sass6
Oligodendrocyte,Sbds
Oligodendrocyte,Sc5d
Oligodendrocyte,Scarb2
Oligodendrocyte,Sccpdh
Oligodendrocyte,Scd3
Oligodendrocyte,Scd4
Oligodendrocyte,Sec11c
Oligodendrocyte,Sec14l5
Oligodendrocyte,Secisbp2l
Oligodendrocyte,Sema3d
Oligodendrocyte,Sept7
Oligodendrocyte,Sept8
Oligodendrocyte,Serinc5
Oligodendrocyte,Serpind1
Oligodendrocyte,Sgk2
Oligodendrocyte,Sh3gl3
Oligodendrocyte,Sirt2
Oligodendrocyte,Slain1
Oligodendrocyte,Slc22a23
Oligodendrocyte,Slc25a10
Oligodendrocyte,Slc25a1
Oligodendrocyte,Slc25a38
Oligodendrocyte,Slc35a2
Oligodendrocyte,Slc44a1
Oligodendrocyte,Slc45a3
Oligodendrocyte,Slc48a1
Oligodendrocyte,Slc5a11
Oligodendrocyte,Slco3a1
Oligodendrocyte,Slpi
Oligodendrocyte,Smad7
Oligodendrocyte,Smco3
Oligodendrocyte,Snx15
Oligodendrocyte,Specc1
Oligodendrocyte,Speer7-ps1
Oligodendrocyte,Spg20
Oligodendrocyte,Sptlc1
Oligodendrocyte,Srd5a1
Oligodendrocyte,Srpk3
Oligodendrocyte,St18
Oligodendrocyte,Stmn4
Oligodendrocyte,Strn
Oligodendrocyte,Stxbp3b
Oligodendrocyte,Suv420h2
Oligodendrocyte,Taf13
Oligodendrocyte,Taldo1
Oligodendrocyte,Tceanc
Oligodendrocyte,Tesk2
Oligodendrocyte,Tfeb
Oligodendrocyte,Thbs3
Oligodendrocyte,Tjap1
Oligodendrocyte,Tll2
Oligodendrocyte,Tm7sf3
Oligodendrocyte,Tmcc2
Oligodendrocyte,Tmcc3
Oligodendrocyte,Tmeff1
Oligodendrocyte,Tmeff2
Oligodendrocyte,Tmem117
Oligodendrocyte,Tmem125
Oligodendrocyte,Tmem141
Oligodendrocyte,Tmem151a
Oligodendrocyte,Tmem159
Oligodendrocyte,Tmem189
Oligodendrocyte,Tmem254b_loc1
Oligodendrocyte,Tmem254b_loc2
Oligodendrocyte,Tmem254b_loc3
Oligodendrocyte,Tmem81
Oligodendrocyte,Tmem88b
Oligodendrocyte,Tmprss5
Oligodendrocyte,Tnfaip6
Oligodendrocyte,Tnni1
Oligodendrocyte,Tpd52
Oligodendrocyte,Tprn
Oligodendrocyte,Tradd
Oligodendrocyte,Trf
Oligodendrocyte,Trim13
Oligodendrocyte,Trim36
Oligodendrocyte,Trim59
Oligodendrocyte,Tspan2
Oligodendrocyte,Tubb4a
Oligodendrocyte,Tulp4
Oligodendrocyte,Txndc16
Oligodendrocyte,Txndc17
Oligodendrocyte,Ugt8a
Oligodendrocyte,Usp6nl
Oligodendrocyte,Vangl2
Oligodendrocyte,Vmp1
Oligodendrocyte,Wfdc18
Oligodendrocyte,Wfikkn2
Oligodendrocyte,Wipi1
Oligodendrocyte,Wls
Oligodendrocyte,Wnk1
Oligodendrocyte,Wnt3
Oligodendrocyte,Wrap53
Oligodendrocyte,Yif1a
Oligodendrocyte,Ypel2
Oligodendrocyte,Ywhaq
Oligodendrocyte,Zdhhc12
Oligodendrocyte,Zdhhc20
Oligodendrocyte,Zdhhc9
Oligodendrocyte,Zfhx2os
Oligodendrocyte,Zfp14
Oligodendrocyte,Zfp276
Oligodendrocyte,Zfp488
Oligodendrocyte,Zfp740
Oligodendrocyte,Zscan29
Microglia,0610031J06Rik
Microglia,1700017B05Rik
Microglia,1810011H11Rik
Microglia,4933406I18Rik
Microglia,5430427O19Rik
Microglia,6230400D17Rik
Microglia,AB124611
Microglia,Abca9
Microglia,Abcb1b
Microglia,Abcc3
Microglia,Abhd15
Microglia,Acp5
Microglia,Ada
Microglia,Adam33
Microglia,Adcy7
Microglia,Adrb2
Microglia,AF251705
Microglia,Ago4
Microglia,Ahr
Microglia,AI607873
Microglia,AI662270
Microglia,Aif1
Microglia,Aim2
Microglia,Alox5ap
Microglia,Alox5
Microglia,Amdhd2
Microglia,Angptl7
Microglia,Ap1b1
Microglia,Apaf1
Microglia,Aph1c
Microglia,Apobec1
Microglia,Arhgap11a
Microglia,Arhgap17
Microglia,Arhgap19
Microglia,Arhgap30
Microglia,Arhgap4
Microglia,Arrb2
Microglia,Arsb
Microglia,Bcl2a1b
Microglia,Bcl2a1c
Microglia,Bid
Microglia,Bin2
Microglia,Blnk
Microglia,Blvra
Microglia,Blvrb
Microglia,Bmp2
Microglia,Btk
Microglia,C1qa
Microglia,C1qb
Microglia,C1qc
Microglia,C3ar1
Microglia,C5ar1
Microglia,Camk1
Microglia,Capn3
Microglia,Casp1
Microglia,Casp4
Microglia,Cass4
Microglia,Cbr2
Microglia,Ccdc50
