gene_symbol,cell_type
OSCP1,Ependymal
OTUD1,Ependymal
OTX1,Ependymal
P2RX6,Ependymal
PARD6G,Ependymal
PARP16,Ependymal
PAWR,Ependymal
PCOLCE2,Ependymal
PDE1C,Ependymal
PER2,Ependymal
PHYKPL,Ependymal
PIFO,Ependymal
PIH1D2,Ependymal
PLA2G5,Ependymal
PLAGL1,Ependymal
PLIN5,Ependymal
POSTN,Ependymal
PPIL6,Ependymal
PPP1R32,Ependymal
PPP1R42,Ependymal
PRDX4,Ependymal
PRLR,Ependymal
PSTPIP1,Ependymal
PTPN21,Ependymal
PUS7,Ependymal
PYGL,Ependymal
RAB11FIP4,Ependymal
RAB42,Ependymal
RARB,Ependymal
RDH10,Ependymal
REST,Ependymal
RFX2,Ependymal
RFX3,Ependymal
RGAG4,Ependymal
RHBDD1,Ependymal
RIBC2,Ependymal
RIIAD1,Ependymal
RLN1,Ependymal
ROPN1L,Ependymal
RPGR,Ependymal
RSPH1,Ependymal
RSPH3,Ependymal
RSPH4A,Ependymal
RSPH9,Ependymal
RUVBL2,Ependymal
S100A6,Ependymal
SCN7A,Ependymal
SCTR,Ependymal
SEC24D,Ependymal
SEMA3B,Ependymal
SERINC2,Ependymal
SFRP1,Ependymal
SKI,Ependymal
SLC16A12,Ependymal
SLC22A4,Ependymal
SLC26A2,Ependymal
SLC26A3,Ependymal
SLC29A4,Ependymal
SLC2A12,Ependymal
SLC39A13,Ependymal
SLC43A3,Ependymal
SMAD5,Ependymal
SMIM5,Ependymal
SMOC1,Ependymal
SOCS1,Ependymal
SORD,Ependymal
SOSTDC1,Ependymal
SP7,Ependymal
SPA17,Ependymal
SPAG17,Ependymal
SPAG6,Ependymal
SPAG8,Ependymal
SPATA17,Ependymal
SPATA24,Ependymal
SPATA33,Ependymal
SPATA6,Ependymal
SPEF1,Ependymal
SPEF2,Ependymal
SPINT2,Ependymal
SSH1,Ependymal
ST8SIA2,Ependymal
MOK,Ependymal
STK33,Ependymal
STK36,Ependymal
STPG1,Ependymal
STXBP4,Ependymal
STYXL1,Ependymal
SULF1,Ependymal
SYT10,Ependymal
TANGO6,Ependymal
TBCEL,Ependymal
TCP11L2,Ependymal
TCTEX1D1,Ependymal
TCTEX1D4,Ependymal
TCTN2,Ependymal
TEKT1,Ependymal
TEKT4,Ependymal
TEX9,Ependymal
TGIF2,Ependymal
TMEM107,Ependymal
TMEM108,Ependymal
TMEM216,Ependymal
TMEM220,Ependymal
TMPRSS7,Ependymal
TOB1,Ependymal
TRIM68,Ependymal
TP53I13,Ependymal
TP63,Ependymal
TRPM3,Ependymal
TSGA10,Ependymal
TSPAN6,Ependymal
TTC12,Ependymal
TTC18,Ependymal
TTC25,Ependymal
TTC30B,Ependymal
TTC34,Ependymal
TTC8,Ependymal
TTLL9,Ependymal
TTR,Ependymal
TUBB4B,Ependymal
TWIST2,Ependymal
UBA6,Ependymal
UBXN10,Ependymal
UBXN11,Ependymal
UCMA,Ependymal
UNG,Ependymal
UPP1,Ependymal
VIT,Ependymal
VWA3A,Ependymal
WDR16,Ependymal
WDR31,Ependymal
WDR35,Ependymal
WDR52,Ependymal
WDR65,Ependymal
WDR78,Ependymal
WDR96,Ependymal
WDYHV1,Ependymal
WNT11,Ependymal
XPC,Ependymal
XYLB,Ependymal
ZC2HC1C,Ependymal
ZCCHC4,Ependymal
ZNF395,Ependymal
ZNF786,Ependymal
ZMYND10,Ependymal
C14orf1,Oligodendrocyte
C2orf43,Oligodendrocyte
C17orf98,Oligodendrocyte
C20orf194,Oligodendrocyte
KIAA0930,Oligodendrocyte
C9orf91,Oligodendrocyte
C1orf116,Oligodendrocyte
AAMDC,Oligodendrocyte
AATK,Oligodendrocyte
ABCA2,Oligodendrocyte
ABL1,Oligodendrocyte
ABTB2,Oligodendrocyte
ACAT2,Oligodendrocyte
ADH5,Oligodendrocyte
ADI1,Oligodendrocyte
ADO,Oligodendrocyte
ADSSL1,Oligodendrocyte
AGPAT4,Oligodendrocyte
ALDH9A1,Oligodendrocyte
ANGPT4,Oligodendrocyte
ANKRD13A,Oligodendrocyte
ANKRD28,Oligodendrocyte
ANLN,Oligodendrocyte
ANO10,Oligodendrocyte
ANO4,Oligodendrocyte
AP3M1,Oligodendrocyte
AP5Z1,Oligodendrocyte
APLP1,Oligodendrocyte
APOD,Oligodendrocyte
ARFGAP3,Oligodendrocyte
ARHGAP23,Oligodendrocyte
ARHGEF10,Oligodendrocyte
ARL2,Oligodendrocyte
ARRDC3,Oligodendrocyte
ARSG,Oligodendrocyte
ASAH2,Oligodendrocyte
ASPA,Oligodendrocyte
ATAT1,Oligodendrocyte
ATP10B,Oligodendrocyte
ATP11A,Oligodendrocyte
ATP1B3,Oligodendrocyte
B3GALT5,Oligodendrocyte
B3GNT9,Oligodendrocyte
BCAP31,Oligodendrocyte
BET1,Oligodendrocyte
BFSP2,Oligodendrocyte
BPGM,Oligodendrocyte
BTBD16,Oligodendrocyte
BTC,Oligodendrocyte
CACNA2D4,Oligodendrocyte
CA2,Oligodendrocyte
CATSPER2,Oligodendrocyte
CCDC28B,Oligodendrocyte
CCNYL1,Oligodendrocyte
CCP110,Oligodendrocyte
CDC37L1,Oligodendrocyte
CDC42EP2,Oligodendrocyte
CDK18,Oligodendrocyte
CDR2L,Oligodendrocyte
CENPQ,Oligodendrocyte
CEP72,Oligodendrocyte
CEP97,Oligodendrocyte
CERCAM,Oligodendrocyte
CERS2,Oligodendrocyte
CFL2,Oligodendrocyte
CHADL,Oligodendrocyte
CHDH,Oligodendrocyte
CHMP1B,Oligodendrocyte
CHN2,Oligodendrocyte
CHST3,Oligodendrocyte
CLDN11,Oligodendrocyte
CLDND1,Oligodendrocyte
CLGN,Oligodendrocyte
CNP,Oligodendrocyte
CNTN2,Oligodendrocyte
COMMD9,Oligodendrocyte
CPD,Oligodendrocyte
CPOX,Oligodendrocyte
CREB3L2,Oligodendrocyte
CRYAB,Oligodendrocyte
CTPS1,Oligodendrocyte
CYB5A,Oligodendrocyte
CYB5R2,Oligodendrocyte
CYP3A7,Oligodendrocyte
C21orf91,Oligodendrocyte
C10orf90,Oligodendrocyte
DBNDD2,Oligodendrocyte
DCPS,Oligodendrocyte
DDIT4,Oligodendrocyte
DDRGK1,Oligodendrocyte
SS18L2,Oligodendrocyte
DEGS1,Oligodendrocyte
DEPDC1B,Oligodendrocyte
DESI1,Oligodendrocyte
DHCR24,Oligodendrocyte
DIABLO,Oligodendrocyte
DIP2A,Oligodendrocyte
DIXDC1,Oligodendrocyte
DNAJB2,Oligodendrocyte
DNAJC24,Oligodendrocyte
DPY19L1,Oligodendrocyte
DUSP15,Oligodendrocyte
EBP,Oligodendrocyte
EEF1D,Oligodendrocyte
EFCAB14,Oligodendrocyte
EFNB3,Oligodendrocyte
ELOVL1,Oligodendrocyte
ELOVL6,Oligodendrocyte
EML1,Oligodendrocyte
EN2,Oligodendrocyte
ENDOD1,Oligodendrocyte
ENOPH1,Oligodendrocyte
ENPP4,Oligodendrocyte
ENPP6,Oligodendrocyte
EPB41L3,Oligodendrocyte
EPN2,Oligodendrocyte
ERBB3,Oligodendrocyte
ERF,Oligodendrocyte
ERMN,Oligodendrocyte
ERMP1,Oligodendrocyte
FADS6,Oligodendrocyte
FAH,Oligodendrocyte
FAM102A,Oligodendrocyte
FAM122B,Oligodendrocyte
FAM173B,Oligodendrocyte
FAM222A,Oligodendrocyte
FAM57A,Oligodendrocyte
FAM83D,Oligodendrocyte
FBXO32,Oligodendrocyte
FBXO7,Oligodendrocyte
FDPS,Oligodendrocyte
FEZ1,Oligodendrocyte
FGD3,Oligodendrocyte
FHDC1,Oligodendrocyte
FIGN,Oligodendrocyte
FMNL2,Oligodendrocyte
FNBP1,Oligodendrocyte
FNTA,Oligodendrocyte
FOXN2,Oligodendrocyte
FRMD8,Oligodendrocyte
FTH1,Oligodendrocyte
GAL3ST1,Oligodendrocyte
GALNT6,Oligodendrocyte
GAMT,Oligodendrocyte
GHDC,Oligodendrocyte
GJB1,Oligodendrocyte
GJC2,Oligodendrocyte
GJC3,Oligodendrocyte
GLOD4,Oligodendrocyte
C17orf103,Oligodendrocyte
GNA12,Oligodendrocyte
GNG7,Oligodendrocyte
GNG8,Oligodendrocyte
GOLGA7,Oligodendrocyte
GPD1,Oligodendrocyte
GPR155,Oligodendrocyte
GPR37,Oligodendrocyte
GPR62,Oligodendrocyte
GRB14,Oligodendrocyte
GRHPR,Oligodendrocyte
GSN,Oligodendrocyte
GSS,Oligodendrocyte
GSTP1,Oligodendrocyte
GYG1,Oligodendrocyte
HAUS3,Oligodendrocyte
HAUS5,Oligodendrocyte
HCN2,Oligodendrocyte
HINT3,Oligodendrocyte
HIP1R,Oligodendrocyte
HIPK2,Oligodendrocyte
HIST1H2BF,Oligodendrocyte
HIST1H2BM,Oligodendrocyte
HMGCS1,Oligodendrocyte
HN1L,Oligodendrocyte
HS3ST1,Oligodendrocyte
HSD17B10,Oligodendrocyte
HSD17B12,Oligodendrocyte
HSD17B7,Oligodendrocyte
ICK,Oligodendrocyte
IL12RB1,Oligodendrocyte
IL1RAP,Oligodendrocyte
IL23A,Oligodendrocyte
ILVBL,Oligodendrocyte
ITGAD,Oligodendrocyte
JOSD2,Oligodendrocyte
KAT2B,Oligodendrocyte
KCNA1,Oligodendrocyte
KCTD13,Oligodendrocyte
KIF13A,Oligodendrocyte
KIF13B,Oligodendrocyte
KIF19,Oligodendrocyte
KLHL2,Oligodendrocyte
KLK6,Oligodendrocyte
KNDC1,Oligodendrocyte
KRCC1,Oligodendrocyte
LCORL,Oligodendrocyte
LGI3,Oligodendrocyte
LIMCH1,Oligodendrocyte
LMF1,Oligodendrocyte
LSM5,Oligodendrocyte
LSS,Oligodendrocyte
LY6G6F,Oligodendrocyte
LZTS2,Oligodendrocyte
MAG,Oligodendrocyte
MAL,Oligodendrocyte
MAP6D1,Oligodendrocyte
MAP7,Oligodendrocyte
MAPK3,Oligodendrocyte
MARCH8,Oligodendrocyte
MBP,Oligodendrocyte
MICALL1,Oligodendrocyte
MOBP,Oligodendrocyte
MOG,Oligodendrocyte
MON2,Oligodendrocyte
MPC1,Oligodendrocyte
MPP5,Oligodendrocyte
MPST,Oligodendrocyte
MTM1,Oligodendrocyte
MTMR10,Oligodendrocyte
MVK,Oligodendrocyte
MYRF,Oligodendrocyte
NEK3,Oligodendrocyte
NFASC,Oligodendrocyte
NFE2L3,Oligodendrocyte
NINJ2,Oligodendrocyte
NIPA1,Oligodendrocyte
NIPAL4,Oligodendrocyte
NIPSNAP3A,Oligodendrocyte
NKAIN1,Oligodendrocyte
NKAIN2,Oligodendrocyte
NKX6-2,Oligodendrocyte
NMRAL1,Oligodendrocyte
NPSR1,Oligodendrocyte
NT5E,Oligodendrocyte
NUDT1,Oligodendrocyte
OLIG1,Oligodendrocyte
OMG,Oligodendrocyte
OPALIN,Oligodendrocyte
OTUD7B,Oligodendrocyte
P4HB,Oligodendrocyte
PACS2,Oligodendrocyte
PAPSS1,Oligodendrocyte
PARD3,Oligodendrocyte
PCBP4,Oligodendrocyte
PCDH9,Oligodendrocyte
PCYT2,Oligodendrocyte
PDE4B,Oligodendrocyte
PDLIM2,Oligodendrocyte
PEX2,Oligodendrocyte
PFKFB3,Oligodendrocyte
PHC1,Oligodendrocyte
PHLDA3,Oligodendrocyte
PHLPP1,Oligodendrocyte
PIGA,Oligodendrocyte
PIGZ,Oligodendrocyte
PIK3C2B,Oligodendrocyte
PKD2L1,Oligodendrocyte
PLCL1,Oligodendrocyte
PLEKHA1,Oligodendrocyte
PLEKHF1,Oligodendrocyte
PLEKHH1,Oligodendrocyte
PLLP,Oligodendrocyte
PLP1,Oligodendrocyte
PMVK,Oligodendrocyte
POLR3E,Oligodendrocyte
POP4,Oligodendrocyte
PPAP2C,Oligodendrocyte
PPP1R16B,Oligodendrocyte
PRIM2,Oligodendrocyte
PRIMA1,Oligodendrocyte
PROB1,Oligodendrocyte
PTCH1,Oligodendrocyte
PTGDS,Oligodendrocyte
PTPDC1,Oligodendrocyte
PTPLA,Oligodendrocyte
PXMP4,Oligodendrocyte
QDPR,Oligodendrocyte
RAB33A,Oligodendrocyte
RAB33B,Oligodendrocyte
RAB37,Oligodendrocyte
RALGDS,Oligodendrocyte
RAP1A,Oligodendrocyte
RBPJL,Oligodendrocyte
RCBTB1,Oligodendrocyte
RDH11,Oligodendrocyte
RDX,Oligodendrocyte
RFTN1,Oligodendrocyte
RFXANK,Oligodendrocyte
RHOU,Oligodendrocyte
RHPN2,Oligodendrocyte
RNF122,Oligodendrocyte
RNF135,Oligodendrocyte
RNF13,Oligodendrocyte
RNF141,Oligodendrocyte
RNF43,Oligodendrocyte
RNF7,Oligodendrocyte
RNLS,Oligodendrocyte
RTKN2,Oligodendrocyte
RTKN,Oligodendrocyte
S1PR5,Oligodendrocyte
SASS6,Oligodendrocyte
SBDS,Oligodendrocyte
SC5D,Oligodendrocyte
SCARB2,Oligodendrocyte
SCCPDH,Oligodendrocyte
SEC11C,Oligodendrocyte
SEC14L5,Oligodendrocyte
SECISBP2L,Oligodendrocyte
SEMA3D,Oligodendrocyte
SEPT7,Oligodendrocyte
SEPT8,Oligodendrocyte
SERINC5,Oligodendrocyte
SERPIND1,Oligodendrocyte
SGK2,Oligodendrocyte
SH3GL3,Oligodendrocyte
SIRT2,Oligodendrocyte
SLAIN1,Oligodendrocyte
SLC22A23,Oligodendrocyte
SLC25A10,Oligodendrocyte
SLC25A38,Oligodendrocyte
SLC44A1,Oligodendrocyte
SLC45A3,Oligodendrocyte
SLC48A1,Oligodendrocyte
SLC5A11,Oligodendrocyte
SLCO3A1,Oligodendrocyte
SLPI,Oligodendrocyte
SMAD7,Oligodendrocyte
SMCO3,Oligodendrocyte
SNX15,Oligodendrocyte
SPECC1,Oligodendrocyte
SPTLC1,Oligodendrocyte
SRD5A1,Oligodendrocyte
SRPK3,Oligodendrocyte
ST18,Oligodendrocyte
STMN4,Oligodendrocyte
STRN,Oligodendrocyte
SUV420H2,Oligodendrocyte
TAF13,Oligodendrocyte
TALDO1,Oligodendrocyte
TCEANC,Oligodendrocyte
TESK2,Oligodendrocyte
TFEB,Oligodendrocyte
THBS3,Oligodendrocyte
TJAP1,Oligodendrocyte
TLL2,Oligodendrocyte
TM7SF3,Oligodendrocyte
TMCC2,Oligodendrocyte
TMCC3,Oligodendrocyte
TMEFF1,Oligodendrocyte
TMEFF2,Oligodendrocyte
TMEM117,Oligodendrocyte
TMEM125,Oligodendrocyte
TMEM141,Oligodendrocyte
TMEM151A,Oligodendrocyte
TMEM159,Oligodendrocyte
TMEM189,Oligodendrocyte
TMEM81,Oligodendrocyte
TMEM88B,Oligodendrocyte
TMPRSS5,Oligodendrocyte
TNFAIP6,Oligodendrocyte
TNNI1,Oligodendrocyte
TPD52,Oligodendrocyte
TPRN,Oligodendrocyte
TRADD,Oligodendrocyte
TF,Oligodendrocyte
TRIM13,Oligodendrocyte
TRIM36,Oligodendrocyte
TRIM59,Oligodendrocyte
TSPAN2,Oligodendrocyte
TUBB4A,Oligodendrocyte
TULP4,Oligodendrocyte
TXNDC16,Oligodendrocyte
TXNDC17,Oligodendrocyte
UGT8,Oligodendrocyte
USP6NL,Oligodendrocyte
VANGL2,Oligodendrocyte
VMP1,Oligodendrocyte
WFIKKN2,Oligodendrocyte
WIPI1,Oligodendrocyte
WLS,Oligodendrocyte
WNK1,Oligodendrocyte
WNT3,Oligodendrocyte
WRAP53,Oligodendrocyte
YIF1A,Oligodendrocyte
YPEL2,Oligodendrocyte
YWHAQ,Oligodendrocyte
ZDHHC12,Oligodendrocyte
ZDHHC20,Oligodendrocyte
ZDHHC9,Oligodendrocyte
ZFP14,Oligodendrocyte
ZNF276,Oligodendrocyte
ZNF488,Oligodendrocyte
ZSCAN29,Oligodendrocyte
C1orf85,Microglia
C15orf39,Microglia
C10orf128,Microglia
CXorf21,Microglia
C19orf38,Microglia
ABCA9,Microglia
ABCC3,Microglia
ABHD15,Microglia
ADA,Microglia
ADAM33,Microglia
ADCY7,Microglia
ADRB2,Microglia
CD300C,Microglia
AGO4,Microglia
AHR,Microglia
IFI16,Microglia
AIF1,Microglia
AIM2,Microglia
ALOX5AP,Microglia
ALOX5,Microglia
AMDHD2,Microglia
ANGPTL7,Microglia
AP1B1,Microglia
APAF1,Microglia
APOBEC1,Microglia
ARHGAP11A,Microglia
ARHGAP17,Microglia
ARHGAP19,Microglia
ARHGAP30,Microglia
ARHGAP4,Microglia
ARRB2,Microglia
ARSB,Microglia
BCL2A1,Microglia
BID,Microglia
BIN2,Microglia
BLNK,Microglia
BLVRA,Microglia
BLVRB,Microglia
BMP2,Microglia
BTK,Microglia
C1QA,Microglia
C1QB,Microglia
C1QC,Microglia
C3AR1,Microglia
C5AR1,Microglia
CAMK1,Microglia
CAPN3,Microglia
CASP1,Microglia
CASP4,Microglia
CASS4,Microglia
CCDC88B,Microglia
CCDC9,Microglia
CCL2,Microglia
CCL24,Microglia
CCL13,Microglia
CCL3L3,Microglia
CCL4,Microglia
CCR1,Microglia
CCR5,Microglia
CD14,Microglia
CD163,Microglia
CD200R1,Microglia
CD300A,Microglia
CD36,Microglia
CD37,Microglia
CD48,Microglia
CD53,Microglia
CD68,Microglia
CD83,Microglia
CD84,Microglia
CD86,Microglia
CEBPA,Microglia
CENPF,Microglia
CNTRL,Microglia
CFP,Microglia
CH25H,Microglia
CLCN5,Microglia
CLEC10A,Microglia
CLEC4A,Microglia
CLEC6A,Microglia
CLEC5A,Microglia
COTL1,Microglia
CRADD,Microglia
CREG1,Microglia
CRYL1,Microglia
CSF1R,Microglia
CSF3R,Microglia
CSK,Microglia
CTSB,Microglia
CTSC,Microglia
CTSD,Microglia
CTSS,Microglia
CTSZ,Microglia
CX3CR1,Microglia
CXCL10,Microglia
CXCL16,Microglia
CXCL2,Microglia
CXCL3,Microglia
CYBB,Microglia
CYSLTR1,Microglia
CYTH4,Microglia
DAB2,Microglia
DAZAP2,Microglia
DCLRE1C,Microglia
DENND1B,Microglia
DENND1C,Microglia
DHDH,Microglia
DNASE2,Microglia
DOCK2,Microglia
DOCK8,Microglia
DRAM1,Microglia
DSE,Microglia
DSN1,Microglia
DTX2,Microglia
EBI3,Microglia
EGR2,Microglia
EHD1,Microglia
EHD4,Microglia
ELMSAN1,Microglia
EML3,Microglia
EMR1,Microglia
EPSTI1,Microglia
ETHE1,Microglia
EVI2B,Microglia
F13A1,Microglia
FAU,Microglia
FBXW4,Microglia
FCER1G,Microglia
FCGR1A,Microglia
FCGR2B,Microglia
FCGR2A,Microglia
FERMT3,Microglia
FGD2,Microglia
FMO5,Microglia
FNDC3A,Microglia
FNIP2,Microglia
FOLR2,Microglia
FRRS1,Microglia
FTL,Microglia
GALNT12,Microglia
GDF15,Microglia
GDPD3,Microglia
GINS2,Microglia
LILRB3,Microglia
MTHFS,Microglia
GMFG,Microglia
GNPDA1,Microglia
GNS,Microglia
LILRB4,Microglia
GPR160,Microglia
GPR183,Microglia
GPR34,Microglia
GPR65,Microglia
GPX3,Microglia
GRN,Microglia
HLA-DQA1,Microglia
HLA-A,Microglia
HAVCR2,Microglia
HCK,Microglia
HCLS1,Microglia
HEXA,Microglia
HEXB,Microglia
HIST1H2AL,Microglia
HIST1H3F,Microglia
HIST2H2BF,Microglia
HK2,Microglia
HK3,Microglia
HMHA1,Microglia
HMOX1,Microglia
HPGD,Microglia
HPGDS,Microglia
HPS3,Microglia
HVCN1,Microglia
IER5,Microglia
IGSF6,Microglia
IKZF1,Microglia
IL10RA,Microglia
IL16,Microglia
IL18BP,Microglia
IL1A,Microglia
IL1B,Microglia
IL4R,Microglia
INPP5D,Microglia
IRAK4,Microglia
IRF5,Microglia
IRF8,Microglia
ITGAM,Microglia
ITGB2,Microglia
ITSN1,Microglia
JMJD1C,Microglia
KDM2B,Microglia
KHK,Microglia
LAIR1,Microglia
LAPTM5,Microglia
LAT2,Microglia
LCP1,Microglia
LCP2,Microglia
LEPREL1,Microglia
LGMN,Microglia
LILRA5,Microglia
LPXN,Microglia
LRMP,Microglia
LRP6,Microglia
LY86,Microglia
LY96,Microglia
LYL1,Microglia
LYVE1,Microglia
LYZ,Microglia
MAF,Microglia
MAML1,Microglia
MAN1C1,Microglia
MAN2B1,Microglia
MAP3K14,Microglia
MAPKAPK2,Microglia
MASP2,Microglia
MB21D1,Microglia
MBNL1,Microglia
MCFD2,Microglia
METTL20,Microglia
MFSD1,Microglia
MKI67,Microglia
MKNK1,Microglia
MLXIPL,Microglia
MOCOS,Microglia
MPEG1,Microglia
MPP1,Microglia
MRC1,Microglia
MS4A6A,Microglia
MS4A7,Microglia
MSR1,Microglia
MTR,Microglia
MYO1F,Microglia
"NAGPA",Microglia
NCF1,Microglia
NCF2,Microglia
NCF4,Microglia
NCKAP1L,Microglia
NCOA3,Microglia
NDST2,Microglia
NFAM1,Microglia
NFATC2,Microglia
NFKBID,Microglia
NFXL1,Microglia
NHLRC3,Microglia
NINJ1,Microglia
NLRP3,Microglia
NPL,Microglia
NRROS,Microglia
NUAK2,Microglia
ORAI1,Microglia
OSBPL11,Microglia
P2RX4,Microglia
P2RX7,Microglia
P2RY12,Microglia
P2RY13,Microglia
P2RY6,Microglia
PACSIN2,Microglia
PAOX,Microglia
PARVG,Microglia
PDE3B,Microglia
PF4,Microglia
PIK3CD,Microglia
PIK3CG,Microglia
